"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
1385,0,1998,2000,3,1,0,45129.98236,0,604,216,921,5.05479452054795,10.0109589041096,4.17260273972603,0,1,0
1386,0,1997,2001,3,1,0,68299.32416,0,455,176,1212,5.02191780821918,8.93150684931507,1.05205479452055,2,1,2
1387,0,1998,2002,4,1,0,35118.93367,0,308,1274,216,8.00547945205479,1.56438356164384,10.0438356164384,1,1,1
1388,0,1998,2004,3,1,0,44233.84755,0,1386,1274,1274,0.967123287671233,1.55068493150685,1.55068493150685,1,1,1
1391,1,1997,1999,2,0,0,66816.69343,0,596,200,497,4.12876712328767,8.95616438356164,4.12876712328767,0,1,0
1394,1,1998,2010,2,0,0,47464.99086,0,832,1041,523,4.19178082191781,3.06575342465753,5.06575342465753,1,1,1
1401,0,1997,2010,2,0,0,48730.49646,0,601,1018,506,4.16986301369863,1.85205479452055,4.17534246575342,6,1,10
1402,0,1998,1999,2,0,0,35468.60813,0,1186,890,1184,2.12328767123288,3.04657534246575,2.10958904109589,0,1,0
1403,0,1997,2006,2,0,0,27191.95608,0,531,776,776,4.16986301369863,3.24657534246575,3.24657534246575,8,1,8
1404,0,1997,2001,4,1,0,115986.4131,0,454,221,221,5.1041095890411,9.23287671232877,9.23287671232877,1,1,1
1405,1,1998,1999,2,0,0,63167.71985,0,859,929,929,3.77534246575342,3.83835616438356,3.83835616438356,0,1,0
1408,0,1998,1999,2,0,0,100090.2818,0,1017,1018,1018,6.04657534246575,2.81369863013699,2.81369863013699,0,1,0
1409,0,1998,2004,2,0,0,99428.85811,1,840,597,597,4.23013698630137,4.38630136986301,4.38630136986301,NA,0,NA
1410,0,1998,1999,3,0,0,91112.1437,0,502,215,215,4.93150684931507,9.88219178082192,9.88219178082192,0,1,1
1412,1,1998,2010,2,0,0,76517.98444,0,457,868,868,5.86849315068493,2.96986301369863,2.96986301369863,10,1,10
1415,0,1998,2013,3,0,0,92782.48619,0,441,1165,1165,6.04109589041096,2.12328767123288,2.12328767123288,8,1,12
1416,1,1998,2000,4,1,0,115505.7034,0,1271,605,605,1.42191780821918,4.96986301369863,4.96986301369863,0,1,0
1418,0,1999,2000,3,0,1,30195.06445,0,912,922,922,4.86575342465753,4.83013698630137,4.83013698630137,0,1,0
1419,0,1999,2008,3,0,1,30195.06445,0,912,922,922,4.86575342465753,4.83013698630137,4.83013698630137,2,1,5
1421,0,1999,2000,2,0,0,63943.11194,0,1345,215,1164,1.75616438356164,10.6684931506849,2.72328767123288,0,1,0
1425,1,1999,2002,2,0,0,118935.666395,0,1403,849,849,1.53424657534247,4.77534246575342,4.77534246575342,0,1,0
1427,1,1999,2004,2,0,0,88925.291445,1,862,917,632,4.74520547945205,4.84931506849315,5.71232876712329,NA,0,NA
1428,0,1999,2001,3,0,0,15097.95984,0,524,865,634,5.5013698630137,4.52054794520548,5.4986301369863,0,1,0
1429,0,1999,2006,2,0,0,999.6984857,0,915,847,847,4.63835616438356,4.56986301369863,4.56986301369863,3,1,4
1430,1,1998,2002,2,0,0,28251.64773,0,1172,1171,1171,1.53972602739726,1.53972602739726,1.53972602739726,0,1,0
1431,0,1999,2002,2,0,0,39243.3706,0,561,467,467,5.5041095890411,6.45479452054794,6.45479452054794,0,1,0
1432,0,1998,1999,3,0,0,55257.05741,0,504,44,44,4.9041095890411,11.8356164383562,11.8356164383562,1,1,1
1435,1,1999,2004,3,0,0,23385.34662,1,853,865,865,4.97260273972603,4.94520547945205,4.94520547945205,NA,0,NA
1436,0,1999,2002,4,1,0,52125.46403,0,524,865,634,5.96438356164384,4.98356164383562,5.96164383561644,1,1,1
1437,0,1998,2008,2,0,0,100090.2818,0,1017,1018,1018,6.24931506849315,3.01643835616438,3.01643835616438,7,1,8
1438,0,1999,2015,2,0,0,69975.12303,0,1155,1154,1154,2.98356164383562,2.98356164383562,2.98356164383562,3,1,7
