"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
6165,0,2015,2014,2015,0,2,0,0,8302.475795,6066,1750,1750,1.05753424657534,11.613698630137,11.613698630137
6165,0,2014,2014,2015,0,2,0,0,8302.475795,6066,1750,1750,1.05753424657534,11.613698630137,11.613698630137
6175,1,2014,2014,2016,0,2,0,0,43168.30647,4904,5283,5283,7.56712328767123,5.12328767123288,5.12328767123288
6175,1,2015,2014,2016,0,2,0,0,43168.30647,4904,5283,5283,7.56712328767123,5.12328767123288,5.12328767123288
6175,1,2016,2014,2016,0,2,0,0,43168.30647,4904,5283,5283,7.56712328767123,5.12328767123288,5.12328767123288
6176,1,2015,2014,2015,0,2,0,0,23394.73034,4965,5643,5643,7.40547945205479,3.28219178082192,3.28219178082192
6176,1,2014,2014,2015,0,2,0,0,23394.73034,4965,5643,5643,7.40547945205479,3.28219178082192,3.28219178082192
6177,0,2014,2014,2015,0,2,0,0,9358.249816,5524,4860,4860,4.34520547945205,7.86575342465753,7.86575342465753
6177,0,2015,2014,2015,0,2,0,0,9358.249816,5524,4860,4860,4.34520547945205,7.86575342465753,7.86575342465753
6178,1,2015,2014,2015,0,3,1,0,10399.11886,1857,3087,5453,10.5890410958904,9.56712328767123,4.62739726027397
6178,1,2014,2014,2015,0,3,1,0,10399.11886,1857,3087,5453,10.5890410958904,9.56712328767123,4.62739726027397
6179,1,2015,2013,2015,0,3,0,0,27849.38211,5845,5292,5249,2.18082191780822,4.99452054794521,5.95342465753425
6179,1,2013,2013,2015,0,3,0,0,27849.38211,5845,5292,5249,2.18082191780822,4.99452054794521,5.95342465753425
6179,1,2014,2013,2015,0,3,0,0,27849.38211,5845,5292,5249,2.18082191780822,4.99452054794521,5.95342465753425
6182,0,2015,2014,2015,0,2,0,0,39136.64049,1717,3486,4954,12.5808219178082,8.77534246575343,7.84383561643836
6182,0,2014,2014,2015,0,2,0,0,39136.64049,1717,3486,4954,12.5808219178082,8.77534246575343,7.84383561643836
6183,1,2015,2014,2016,0,2,0,0,21228.76611,3574,5650,5650,8.60821917808219,2.5972602739726,2.5972602739726
6183,1,2016,2014,2016,0,2,0,0,21228.76611,3574,5650,5650,8.60821917808219,2.5972602739726,2.5972602739726
6183,1,2014,2014,2016,0,2,0,0,21228.76611,3574,5650,5650,8.60821917808219,2.5972602739726,2.5972602739726
6189,1,2015,2013,2016,0,2,0,0,4893.452099,3497,5835,5835,8.72328767123288,2.12602739726027,2.12602739726027
6189,1,2016,2013,2016,0,2,0,0,4893.452099,3497,5835,5835,8.72328767123288,2.12602739726027,2.12602739726027
6189,1,2013,2013,2016,0,2,0,0,4893.452099,3497,5835,5835,8.72328767123288,2.12602739726027,2.12602739726027
6189,1,2014,2013,2016,0,2,0,0,4893.452099,3497,5835,5835,8.72328767123288,2.12602739726027,2.12602739726027
6190,0,2014,2014,2015,0,2,0,0,13535.54527,5842,5333,5333,2.22739726027397,4.88767123287671,4.88767123287671
6190,0,2015,2014,2015,0,2,0,0,13535.54527,5842,5333,5333,2.22739726027397,4.88767123287671,4.88767123287671
6194,0,2015,2014,2015,1,3,1,0,56969.7226,5536,1750,5829,4.04109589041096,11.7095890410959,1.99452054794521
6194,0,2014,2014,2015,0,3,1,0,56969.7226,5536,1750,5829,4.04109589041096,11.7095890410959,1.99452054794521
6196,1,2014,2013,2017,0,2,0,0,34560.18811,5537,5626,4947,4.08219178082192,3.09041095890411,7.20547945205479
6196,1,2015,2013,2017,0,2,0,0,34560.18811,5537,5626,4947,4.08219178082192,3.09041095890411,7.20547945205479
6196,1,2016,2013,2017,0,2,0,0,34560.18811,5537,5626,4947,4.08219178082192,3.09041095890411,7.20547945205479
6196,1,2013,2013,2017,0,2,0,0,34560.18811,5537,5626,4947,4.08219178082192,3.09041095890411,7.20547945205479
